"id","soil_type","distance","capillary_rate"
"647","Tt","19","0.0"
"648","Tl","19","0.0"
"649","Tu2","19","0.0"
"650","Tu3","19","0.0"
"651","Tu4","19","0.0"
"652","Ts2","19","0.0"
"653","Ts3","19","0.0"
"654","Ts4","19","0.0"
"655","Su2","20","0.0001"
"656","Su3","20","0.0003"
"657","Su4","20","0.0003"
"658","Sl2","20","0.0"
"659","Sl3","20","0.0"
"660","Sl4","20","0.0"
"661","Slu","20","0.0001"
"662","St2","20","0.0"
"663","St3","20","0.0"
"664","fS","20","0.0"
"665","gS","20","0.0"
"666","mS","20","0.0"
"667","Ss","20","0.0"
"668","Us","20","0.0004"
"669","Uu","20","0.001"
"670","Uls","20","0.0009"
"671","Ut2","20","0.0004"
"672","Ut3","20","0.0004"
"673","Ut4","20","0.0003"
"674","Ls2","20","0.0001"
"675","Ls3","20","0.0002"
"676","Ls4","20","0.0001"
"677","Lt2","20","0.0001"
"678","Lt3","20","0.0002"
"679","Lu","20","0.0003"
"680","Lts","20","0.0"
"681","Tt","20","0.0"
"682","Tl","20","0.0"
"683","Tu2","20","0.0"
"684","Tu3","20","0.0"
"685","Tu4","20","0.0"
"686","Ts2","20","0.0"
"687","Ts3","20","0.0"
"688","Ts4","20","0.0"
"689","Su2","21","0.0"
"690","Su3","21","0.0003"
"691","Su4","21","0.0003"
"692","Sl2","21","0.0"
"693","Sl3","21","0.0"
"694","Sl4","21","0.0"
"695","Slu","21","0.0"
"696","St2","21","0.0"
"697","St3","21","0.0"
"698","fS","21","0.0"
"699","gS","21","0.0"
"700","mS","21","0.0"
"701","Ss","21","0.0"
"702","Us","21","0.0004"
"703","Uu","21","0.001"
"704","Uls","21","0.0009"
"705","Ut2","21","0.0004"
"706","Ut3","21","0.0004"
"707","Ut4","21","0.0003"
"708","Ls2","21","0.0"
"709","Ls3","21","0.0002"
"710","Ls4","21","0.0"
"711","Lt2","21","0.0"
"712","Lt3","21","0.0002"
"713","Lu","21","0.0003"
"714","Lts","21","0.0"
"715","Tt","21","0.0"
"716","Tl","21","0.0"
"717","Tu2","21","0.0"
"718","Tu3","21","0.0"
"719","Tu4","21","0.0"
"720","Ts2","21","0.0"
"721","Ts3","21","0.0"
"722","Ts4","21","0.0"
"723","Su2","22","0.0"
"724","Su3","22","0.0003"
"725","Su4","22","0.0003"
"726","Sl2","22","0.0"
"727","Sl3","22","0.0"
"728","Sl4","22","0.0"
"729","Slu","22","0.0"
"730","St2","22","0.0"
"731","St3","22","0.0"
"732","fS","22","0.0"
"733","gS","22","0.0"
"734","mS","22","0.0"
"735","Ss","22","0.0"
"736","Us","22","0.0004"
"737","Uu","22","0.001"
"738","Uls","22","0.0009"
"739","Ut2","22","0.0004"
"740","Ut3","22","0.0004"
"741","Ut4","22","0.0003"
"742","Ls2","22","0.0"
"743","Ls3","22","0.0002"
"744","Ls4","22","0.0"
"745","Lt2","22","0.0"
"746","Lt3","22","0.0002"
"747","Lu","22","0.0003"
"748","Lts","22","0.0"
"749","Tt","22","0.0"
"750","Tl","22","0.0"
"751","Tu2","22","0.0"
"752","Tu3","22","0.0"
"753","Tu4","22","0.0"
"754","Ts2","22","0.0"
"755","Ts3","22","0.0"
"756","Ts4","22","0.0"
"757","Su2","23","0.0"
"758","Su3","23","0.0003"
"759","Su4","23","0.0003"
"760","Sl2","23","0.0"
"761","Sl3","23","0.0"
"762","Sl4","23","0.0"
"763","Slu","23","0.0"
"764","St2","23","0.0"
"765","St3","23","0.0"
"766","fS","23","0.0"
"767","gS","23","0.0"
"768","mS","23","0.0"
"769","Ss","23","0.0"
"770","Us","23","0.0004"
"771","Uu","23","0.001"
"772","Uls","23","0.0009"
"773","Ut2","23","0.0004"
"774","Ut3","23","0.0004"
"775","Ut4","23","0.0003"
"776","Ls2","23","0.0"
"777","Ls3","23","0.0002"
"778","Ls4","23","0.0"
"779","Lt2","23","0.0"
"780","Lt3","23","0.0002"
"781","Lu","23","0.0003"
"782","Lts","23","0.0"
"783","Tt","23","0.0"
"784","Tl","23","0.0"
"785","Tu2","23","0.0"
"786","Tu3","23","0.0"
"787","Tu4","23","0.0"
"788","Ts2","23","0.0"
"789","Ts3","23","0.0"
"790","Ts4","23","0.0"
"791","Su2","24","0.0"
"792","Su3","24","0.0003"
"793","Su4","24","0.0003"
"794","Sl2","24","0.0"
"795","Sl3","24","0.0"
"796","Sl4","24","0.0"
"797","Slu","24","0.0"
"798","St2","24","0.0"
"799","St3","24","0.0"
"800","fS","24","0.0"
"801","gS","24","0.0"
"802","mS","24","0.0"
"803","Ss","24","0.0"
"804","Us","24","0.0004"
"805","Uu","24","0.001"
"806","Uls","24","0.0009"
"807","Ut2","24","0.0004"
"808","Ut3","24","0.0004"
"809","Ut4","24","0.0003"
"810","Ls2","24","0.0"
"811","Ls3","24","0.0002"
"812","Ls4","24","0.0"
"813","Lt2","24","0.0"
"814","Lt3","24","0.0002"
"815","Lu","24","0.0003"
"816","Lts","24","0.0"
"817","Tt","24","0.0"
"818","Tl","24","0.0"
"819","Tu2","24","0.0"
"820","Tu3","24","0.0"
"821","Tu4","24","0.0"
"822","Ts2","24","0.0"
"823","Ts3","24","0.0"
"824","Ts4","24","0.0"
"825","Su2","25","0.0"
"826","Su3","25","0.0001"
"827","Su4","25","0.0001"
"828","Sl2","25","0.0"
"829","Sl3","25","0.0"
"830","Sl4","25","0.0"
"831","Slu","25","0.0"
"832","St2","25","0.0"
"833","St3","25","0.0"
"834","fS","25","0.0"
"835","gS","25","0.0"
"836","mS","25","0.0"
"837","Ss","25","0.0"
"838","Us","25","0.0001"
"839","Uu","25","0.0005"
"840","Uls","25","0.0005"
"841","Ut2","25","0.0001"
"842","Ut3","25","0.0001"
"843","Ut4","25","0.0001"
"844","Ls2","25","0.0"
"845","Ls3","25","0.0001"
"846","Ls4","25","0.0"
"847","Lt2","25","0.0"
"848","Lt3","25","0.0001"
"849","Lu","25","0.0001"
"850","Lts","25","0.0"
"851","Tt","25","0.0"
"852","Tl","25","0.0"
"853","Tu2","25","0.0"
"854","Tu3","25","0.0"
"855","Tu4","25","0.0"
"856","Ts2","25","0.0"
"857","Ts3","25","0.0"
"858","Ts4","25","0.0"
"859","Su2","26","0.0"
"860","Su3","26","0.0"
"861","Su4","26","0.0"
"862","Sl2","26","0.0"
"863","Sl3","26","0.0"
"864","Sl4","26","0.0"
"865","Slu","26","0.0"
"866","St2","26","0.0"
"867","St3","26","0.0"
"868","fS","26","0.0"
"869","gS","26","0.0"
"870","mS","26","0.0"
"871","Ss","26","0.0"
"872","Us","26","0.0001"
"873","Uu","26","0.0003"
"874","Uls","26","0.0003"
"875","Ut2","26","0.0001"
"876","Ut3","26","0.0001"
"877","Ut4","26","0.0001"
"878","Ls2","26","0.0"
"879","Ls3","26","0.0"
"880","Ls4","26","0.0"
"881","Lt2","26","0.0"
"882","Lt3","26","0.0"
"883","Lu","26","0.0001"
"884","Lts","26","0.0"
"885","Tt","26","0.0"
"886","Tl","26","0.0"
"887","Tu2","26","0.0"
"888","Tu3","26","0.0"
"889","Tu4","26","0.0"
"890","Ts2","26","0.0"
"891","Ts3","26","0.0"
"892","Ts4","26","0.0"
"893","Su2","27","0.0"
"894","Su3","27","0.0"
"895","Su4","27","0.0"
"896","Sl2","27","0.0"
"897","Sl3","27","0.0"
"898","Sl4","27","0.0"
"899","Slu","27","0.0"
"900","St2","27","0.0"
"901","St3","27","0.0"
"902","fS","27","0.0"
"903","gS","27","0.0"
"904","mS","27","0.0"
"905","Ss","27","0.0"
"906","Us","27","0.0"
"907","Uu","27","0.0001"
"908","Uls","27","0.0001"
"909","Ut2","27","0.0"
"910","Ut3","27","0.0"
"911","Ut4","27","0.0"
"912","Ls2","27","0.0"
"913","Ls3","27","0.0"
"914","Ls4","27","0.0"
"915","Lt2","27","0.0"
"916","Lt3","27","0.0"
"917","Lu","27","0.0"
"918","Lts","27","0.0"
"919","Tt","27","0.0"
"920","Tl","27","0.0"
"921","Tu2","27","0.0"
"922","Tu3","27","0.0"
"923","Tu4","27","0.0"
"924","Ts2","27","0.0"
"925","Ts3","27","0.0"
"926","Ts4","27","0.0"
"927","Hh","27","0.0"
"928","Hh","26","0.0"
"929","Hh","25","0.0"
"930","Hh","24","0.0"
"931","Hh","23","0.0"
"932","Hh","22","0.0"
"933","Hh","21","0.0"
"934","Hh","20","0.0"
"935","Hh","19","0.0"
"936","Hh","18","0.0"
"937","Hh","17","0.0"
"938","Hh","16","0.0"
"939","Hh","15","0.0"
"940","Hh","14","0.0"
"941","Hh","13","0.0"
"942","Hh","12","5.0e-05"
